Rank,BName,BName_sub,ItemId,Author,Author_mul,Publshr,Pdate,RglPrice,SlsPrice,SalesPoint,Category,Sorce
589.0,몸에 좋고 맛도 좋은 채식요리,,366440,삼성출판사 편집부,False,기타 출판사,2002-07-10,5800,5220,264.0,요리/살림,2002년8월3주
853.0,예수마당 성경공부 Cycle 3-1,,523518,디모데 편집부,False,기타 출판사,2002-07-10,3800,3610,18.0,종교/역학,2005년2월1주
200.0,한 번 들으면 평생 기억하는 잔소리 영어,,365999,토바리 이쿠코,True,위즈덤하우스,2002-07-11,11000,9900,267.0,좋은부모,2002년8월3주
549.0,얘들아 아빠랑 놀자,,366255,서진석,False,기타 출판사,2002-07-12,11000,9900,835.0,좋은부모,2002년8월3주
927.0,슬램덩크 21,,366073,이노우에 다케히코,False,대원씨아이(만화),2002-07-13,5000,4500,616.0,만화,2002년8월3주
232.0,인물과 사상 23,,366146,강준만,False,기타 출판사,2002-07-13,10000,9000,299.0,사회과학,2002년8월3주
937.0,거절을 즐겨라,,368224,존 퍼먼,True,기타 출판사,2002-07-13,7000,6300,74.0,자기계발,2002년8월3주
431.0,고슴도치,,257615,위기철,False,기타 출판사,2002-07-15,10000,9000,902.0,소설/시/희곡,2002년8월3주
939.0,공부방법을 알면 성적이 보인다,,364525,신붕섭,False,기타 출판사,2002-07-15,9800,8820,2502.0,좋은부모,2005년2월1주
772.0,뇌 1,,364908,베르나르 베르베르,True,열린책들,2002-07-15,14800,13320,11791.0,소설/시/희곡,2005년2월1주
3.0,뇌 2,,364913,베르나르 베르베르,True,열린책들,2002-07-15,14800,13320,11547.0,소설/시/희곡,2002년8월3주
955.0,45일만에 끝내는 주가차트 알고 보니 쉽네,,365342,이장욱,True,기타 출판사,2002-07-15,32000,28800,519.0,경제경영,2002년8월3주
901.0,풀 메탈 패닉! 1,,365762,가토우 쇼우지,True,대원씨아이(단행본),2002-07-15,5500,4950,1263.0,소설/시/희곡,2002년8월3주
812.0,비극의 현대지도자,,365979,서중석,False,기타 출판사,2002-07-15,17000,16150,113.0,대학교재/전문서적,2002년8월3주
