순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명),source
793.0,국내도서,인간과 상징,118518,9788932901282,3180.0,"칼 융 외 지음, 이윤기 옮김",열린책들,1996-07-15,28000,25200,"1,400점",1364.0,인문학,2001년1월3주
958.0,국내도서,서른 살의 강,75525,9788985712958,3810.0,은희경 외 지음,문학동네,1996-07-20,9500,8550,470점,495.0,소설/시/희곡,2001년1월3주
358.0,국내도서,로마인 이야기 5,44611,9788935610822,4900.0,"시오노 나나미 지음, 김석희 옮김",한길사,1996-08-10,19500,17550,970점,7744.0,역사,2002년8월3주
675.0,국내도서,아침의 차 한잔이 인생을 결정한다,233851,9788974420895,,"아놀드 베네트 지음, 윤선원 편역",매일경제신문사,1996-08-20,4000,3600,200점,595.0,자기계발,2001년1월3주
727.0,국내도서,파블로 피카소,156250,9788970840574,,마순자 옮김,예경,1996-08-26,15000,14250,750점,132.0,예술/대중문화,2001년1월3주
719.0,국내도서,마르크 샤갈,75365,9788970840567,,마순자 옮김,예경,1996-08-26,15000,14250,750점,133.0,예술/대중문화,2001년1월3주
801.0,국내도서,나무야 나무야,28019,9788971990933,3810.0,신영복 지음,돌베개,1996-09-12,8000,7200,400점,9684.0,에세이,2005년2월1주
646.0,국내도서,태백산맥 3,190186,9788973370795,,조정래,해냄,1996-10-01,6800,6120,340점,359.0,소설/시/희곡,2001년1월3주
160.0,국내도서,쓰기성서,92515,,,생활성서사 편집부 엮음,생활성서사,1996-10-01,5000,4500,250점,48.0,종교/역학,2005년2월1주
753.0,국내도서,바람의 딸 걸어서 지구 세바퀴 반 2,56276,9788986903027,,한비야 지음,금토,1996-10-18,9000,8100,450점,4132.0,여행,2005년2월1주
905.0,국내도서,모두 아름다운 아이들,49611,9788932008462,3810.0,최시한 지음,문학과지성사,1996-10-25,6500,5850,320점,2298.0,청소년,2005년2월1주
964.0,국내도서,당신들의 천국,36046,9788932008424,3810.0,이청준 지음,문학과지성사,1996-11-05,14000,12600,700점,8029.0,소설/시/희곡,2001년1월3주
432.0,국내도서,광장 / 구운몽,14058,9788932008486,3810.0,최인훈 지음,문학과지성사,1996-11-10,10000,9000,500점,10333.0,소설/시/희곡,2005년2월1주
313.0,국내도서,엄마랑 하나 둘 셋,100077,9788970086576,,두란노 편집부 엮음,두란노,1996-11-15,2000,1800,100점,26.0,종교/역학,2001년1월3주
298.0,국내도서,우리 가족을 소개할게,109151,9788970087054,,두란노 편집부 엮음,두란노,1996-11-15,2000,1800,100점,27.0,종교/역학,2001년1월3주
309.0,국내도서,이 옷은 어디에,116032,9788970087030,,두란노 편집부 엮음,두란노,1996-11-15,2000,1800,100점,27.0,종교/역학,2001년1월3주
326.0,국내도서,하나님 나는 되고 싶어요,156512,9788970087085,,두란노 편집부 엮음,두란노,1996-11-15,2000,1800,100점,27.0,종교/역학,2001년1월3주
311.0,국내도서,하나님 나라는 어떻게 갈까,156515,9788970086606,,두란노 편집부 엮음,두란노,1996-11-15,2000,1800,100점,26.0,종교/역학,2001년1월3주
305.0,국내도서,하나님이 세상을 만드셨어요,157012,9788970086590,,두란노 편집부 엮음,두란노,1996-11-15,2000,1800,100점,27.0,종교/역학,2001년1월3주
330.0,국내도서,하나님이 주신 내 아기,157030,9788970087047,,두란노 편집부 엮음,두란노,1996-11-15,2000,1800,100점,27.0,종교/역학,2001년1월3주
308.0,국내도서,나도 이제 다 알아요,27727,9788970087061,,두란노 편집부 엮음,두란노,1996-11-15,2000,1800,100점,26.0,종교/역학,2001년1월3주
316.0,국내도서,솔로몬의 잔치,83358,9788970087078,,두란노 편집부 엮음,두란노,1996-11-15,2000,1800,100점,27.0,종교/역학,2001년1월3주
329.0,국내도서,안으로 들어오세요,95726,9788970086583,,두란노 편집부 엮음,두란노,1996-11-15,2000,1800,100점,26.0,종교/역학,2001년1월3주
669.0,국내도서,혼불 5,190359,9788935601240,,최명희 지음,한길사,1996-12-05,7000,6300,350점,2167.0,소설/시/희곡,2002년8월3주
679.0,국내도서,혼불 6,190361,9788935601257,,최명희 지음,한길사,1996-12-05,7000,6300,350점,2179.0,소설/시/희곡,2002년8월3주
683.0,국내도서,혼불 7,190363,9788935601264,,최명희 지음,한길사,1996-12-05,7000,6300,350점,2201.0,소설/시/희곡,2002년8월3주
559.0,국내도서,혼불 8,190364,9788935601271,,최명희 지음,한길사,1996-12-05,7000,6300,350점,2188.0,소설/시/희곡,2002년8월3주
513.0,국내도서,혼불 9,190365,9788935601288,,최명희 지음,한길사,1996-12-05,7000,6300,350점,2179.0,소설/시/희곡,2002년8월3주
485.0,국내도서,혼불 10,190366,9788935601295,,최명희 지음,한길사,1996-12-05,7000,6300,350점,2218.0,소설/시/희곡,2002년8월3주
952.0,국내도서,어린이책의 역사 1,99140,9788972594031,4010.0,존 로 타운젠드 지음,시공사,1996-12-09,9500,8550,470점,616.0,좋은부모,2001년1월3주
563.0,국내도서,신앙의 맥을 따라서,90136,9788939808232,,정영택,한국장로교출판사(한장사),1997-01-20,7000,6300,350점,20.0,종교/역학,2002년8월3주
427.0,국내도서,소중한 것을 먼저하라,190664,9788934903147,3320.0,"스티븐 코비 외 지음, 김경섭 옮김",김영사,1997-02-25,15000,13500,750점,3570.0,자기계발,2005년2월1주
930.0,국내도서,물질문명과 자본주의 3-2,53105,9788972910886,94900.0,페르낭 브로델 지음,까치,1997-02-25,18000,16200,900점,1443.0,역사,2002년8월3주
782.0,국내도서,아홉 켤레의 구두로 남은 사내,196125,9788932008806,3810.0,윤흥길 지음,문학과지성사,1997-03-05,13000,11700,650점,5062.0,소설/시/희곡,2005년2월1주
932.0,국내도서,이 시대를 사는 따뜻한 부모들의 이야기 - 테이프 4개,116003,9788934903185,5810.0,이민정 지음,김영사,1997-03-08,15000,13500,750점,1506.0,좋은부모,2005년2월1주
987.0,국내도서,31가지 테마가 있는 경제여행,1508,9788971969465,,오영수 지음,사계절,1997-03-10,9500,8550,470점,801.0,경제경영,2005년2월1주
434.0,국내도서,하늘 호수로 떠난 여행,157223,9788970631264,3810.0,류시화 지음,열림원,1997-05-10,9900,8910,490점,7934.0,에세이,2011년12월5주
975.0,국내도서,교안모음집 1,235999,,,전국민주노동조합총연맹 교육선전실 지음,전국민주노동조합총연맹(민주노총),1997-05-31,7500,7500,370점,102.0,사회과학,2001년1월3주
936.0,국내도서,교안모음집 2,236001,,,전국민주노동조합총연맹 교육선전실 지음,전국민주노동조합총연맹(민주노총),1997-05-31,7500,7500,370점,102.0,사회과학,2001년1월3주
227.0,국내도서,문명의 충돌,51851,9788934903277,3340.0,"새뮤얼 헌팅턴 지음, 이희재 옮김",김영사,1997-06-15,17900,16110,890점,3865.0,인문학,2005년2월1주
173.0,국내도서,쿠슐라와 그림책 이야기,148433,9788943303143,,"도로시 버틀러 지음, 김중철 옮김",보림,1997-06-30,7500,6750,370점,525.0,좋은부모,2002년8월3주
950.0,국내도서,요가 디피카,108390,9788995797020,3510.0,"B.K.S.아헹가 지음, 현천 옮김",선요가,1997-07-05,28000,26600,"1,400점",11380.0,건강/취미,2005년2월1주
